iter	MultiClass
0	1.318241264
1	1.257823479
2	1.210641894
3	1.166060984
4	1.128786316
5	1.09656014
6	1.065881316
7	1.041235621
8	1.018045709
9	0.9968145534
10	0.9774746006
11	0.9589656245
12	0.9436077619
13	0.9274863918
14	0.9135594433
15	0.9009305283
16	0.8897613537
17	0.8793434496
18	0.8698675184
19	0.860988053
20	0.8526197822
21	0.8455044213
22	0.839068649
23	0.8317490358
24	0.8262978947
25	0.8207460901
26	0.8155567454
27	0.8101884702
28	0.8056088617
29	0.8007190605
30	0.7961850407
31	0.7919342591
32	0.7882337905
33	0.7846656127
34	0.7819888813
35	0.7790450615
36	0.7752480149
37	0.7721153568
38	0.7701770559
39	0.7680042629
40	0.7653839403
41	0.763096693
42	0.7617993522
43	0.7590770835
44	0.7584045709
45	0.7570357154
46	0.7555574324
47	0.7541094018
48	0.7520337618
49	0.7509524324
50	0.7487175328
51	0.747963255
52	0.7460412305
53	0.7440472796
54	0.7425576041
55	0.7417225857
56	0.7401676872
57	0.738475927
58	0.7369432487
59	0.7356061094
60	0.7344070255
61	0.7320779535
62	0.7309308913
63	0.7290509589
64	0.7278025832
65	0.7267064329
66	0.7254181932
67	0.7236595708
68	0.7226712499
69	0.7210771006
70	0.7200275308
71	0.7189099833
72	0.7170904677
73	0.716215267
74	0.7150447164
75	0.713886926
76	0.7127720686
77	0.7116644904
78	0.7104705864
79	0.7090467382
80	0.7079438097
81	0.7068549829
82	0.7060423682
83	0.7047499563
84	0.7041144546
85	0.7026991676
86	0.7015714251
87	0.700716592
88	0.6996768023
89	0.6983938448
90	0.6972139731
91	0.6966325574
92	0.6954608969
93	0.694173029
94	0.6933606987
95	0.6922092194
96	0.6915220217
97	0.6905166524
98	0.6900081069
99	0.6885893161
100	0.6873227805
101	0.6860901437
102	0.6847331595
103	0.6836466628
104	0.6824493929
105	0.6808781839
106	0.6800391207
107	0.6786247967
108	0.6773904162
109	0.6765427872
110	0.674761014
111	0.6737089817
112	0.6729811096
113	0.6721516191
114	0.6712590612
115	0.670008875
116	0.6690129057
117	0.6680011462
118	0.6671103904
119	0.666038477
120	0.6651134712
121	0.6645867925
122	0.6637083966
123	0.6626466131
124	0.6613465298
125	0.6602449332
126	0.6594930799
127	0.6586501383
128	0.6577326478
129	0.6566802261
130	0.6558770656
131	0.6551171573
132	0.6542662937
133	0.6534645199
134	0.6527688068
135	0.6523061479
136	0.651043822
137	0.6499189911
138	0.6489828635
139	0.6479630401
140	0.6471840941
141	0.6462505285
142	0.6453289978
143	0.6447696932
144	0.643951227
145	0.6428885651
146	0.6422103269
147	0.6411667922
148	0.6402159202
149	0.6394675499
150	0.6386273985
151	0.637871956
152	0.6373114808
153	0.6368234933
154	0.6358581894
155	0.6349481268
156	0.6339851347
157	0.633379497
158	0.6324872086
159	0.6314709754
160	0.6311359399
161	0.629928334
162	0.629187701
163	0.6281137798
164	0.627532153
165	0.6266870582
166	0.625906533
167	0.6253137255
168	0.6246996002
169	0.6236854574
170	0.6229091385
171	0.6221363082
172	0.6212571403
173	0.6206424048
174	0.6198564432
175	0.6190579008
176	0.6183916074
177	0.6177846214
178	0.6171491185
179	0.6165313479
180	0.6158079903
181	0.6153896508
182	0.6145954963
183	0.6138934551
184	0.6132256677
185	0.6126186382
186	0.6118680077
187	0.6106759276
188	0.609689883
189	0.6090855549
190	0.6084481603
191	0.6078451664
192	0.6069316643
193	0.6061640275
194	0.6054264617
195	0.6047086357
196	0.6042385598
197	0.6037371555
198	0.6031649289
199	0.6023194282
200	0.6014374925
201	0.6008430594
202	0.5998450138
203	0.5994847265
204	0.5989587899
205	0.5979860572
206	0.5976998307
207	0.5971806979
208	0.5965693695
209	0.5958267425
210	0.595305044
211	0.594547978
212	0.5935327976
213	0.5929058281
214	0.5921748398
215	0.5916649894
216	0.5911596692
217	0.5902279757
218	0.5892950411
219	0.5885954823
220	0.5879501076
221	0.5873641668
222	0.5869203092
223	0.5859371451
224	0.5853757822
225	0.5849915427
226	0.5842525659
227	0.583759901
228	0.5832392022
229	0.5827392035
230	0.5821549408
231	0.5818100097
232	0.5814138482
233	0.5805426851
234	0.5798506863
235	0.5789301109
236	0.5782325995
237	0.5775778341
238	0.5768567915
239	0.576365612
240	0.5756109535
241	0.575264229
242	0.5745505461
243	0.5740399872
244	0.5732792878
245	0.5727470144
246	0.5724225739
247	0.5719442958
248	0.5712485642
249	0.5707461539
250	0.5702785885
251	0.5694235424
252	0.5687619279
253	0.5680153989
254	0.5674049472
255	0.566894546
256	0.5660836462
257	0.5656037501
258	0.5647174474
259	0.5639697448
260	0.5632600825
261	0.562490083
262	0.561995716
263	0.5613536637
264	0.5606279044
265	0.559990015
266	0.5594152556
267	0.5591266992
268	0.5585927726
269	0.5582356605
270	0.5577062456
271	0.5571959149
272	0.5567887792
273	0.556154609
274	0.5556659726
275	0.5552473563
276	0.5549405575
277	0.554622053
278	0.553987861
279	0.5535004506
280	0.5526658241
281	0.5519640652
282	0.5516405047
283	0.5510589149
284	0.5502170108
285	0.5497557443
286	0.5490374575
287	0.5484481869
288	0.5478727244
289	0.5473099762
290	0.5470707836
291	0.5466116652
292	0.5459088725
293	0.5454872543
294	0.5450151958
295	0.5444877867
296	0.5437428167
297	0.5430682629
298	0.5424324442
299	0.542063183
300	0.5414404507
301	0.5409879165
302	0.5403816613
303	0.5397861523
304	0.5393100231
305	0.5388180933
306	0.538128055
307	0.5377094195
308	0.5371694545
309	0.5364101138
310	0.5358862794
311	0.5354297115
312	0.5347699429
313	0.5340798947
314	0.5335891867
315	0.5327560898
316	0.5322102463
317	0.5317826165
318	0.5314220046
319	0.5308984598
320	0.5302369944
321	0.5295709471
322	0.5292548596
323	0.5287957439
324	0.528414836
325	0.5279693566
326	0.5271863379
327	0.5266328352
328	0.5261909691
329	0.5257315582
330	0.5254798408
331	0.5248168558
332	0.5242320872
333	0.5236388624
334	0.5232195098
335	0.5223801187
336	0.5217599792
337	0.5211252083
338	0.5203697383
339	0.5198908648
340	0.5195143236
341	0.5189659507
342	0.5183037801
343	0.5179016171
344	0.5176128807
345	0.517206261
346	0.516813464
347	0.5165625698
348	0.51606634
349	0.515512387
350	0.5150164377
351	0.5145764721
352	0.5141017166
353	0.5131744007
354	0.5125896897
355	0.5122185838
356	0.5119205948
357	0.5115106194
358	0.5111535957
359	0.5104679518
360	0.5102101748
361	0.5097808156
362	0.5092822361
363	0.5088750992
364	0.5084722616
365	0.5081190886
366	0.5077082275
367	0.5072879611
368	0.5070678945
369	0.50647564
370	0.5060534617
371	0.5056424865
372	0.5052232556
373	0.5048930813
374	0.5044685841
375	0.5041963079
376	0.5035590665
377	0.5031660456
378	0.5028039398
379	0.5024084871
380	0.5020614143
381	0.5017406694
382	0.5014132177
383	0.5010335124
384	0.5005733939
385	0.5000154029
386	0.4997270739
387	0.4993949326
388	0.4987232313
389	0.4981757109
390	0.4977745844
391	0.4974672574
392	0.4972317055
393	0.4968695661
394	0.4965127969
395	0.4961220496
396	0.4954079362
397	0.4949311444
398	0.4945091645
399	0.4939621943
400	0.4935645741
401	0.4933041051
402	0.492971506
403	0.4925695032
404	0.4924129584
405	0.491980713
406	0.4912991847
407	0.4906562916
408	0.4900939213
409	0.4895772875
410	0.4890420758
411	0.4887726109
412	0.4884794586
413	0.4881016171
414	0.4875563848
415	0.4870930862
416	0.4867302333
417	0.4864330363
418	0.4859246748
419	0.4854273197
420	0.4849985977
421	0.4845699765
422	0.4838937224
423	0.4835009096
424	0.4829938481
425	0.482823135
426	0.4824132733
427	0.4820902712
428	0.481800766
429	0.4811894658
430	0.4808406152
431	0.4804522965
432	0.4800125505
433	0.4792555975
434	0.4789568182
435	0.4782065676
436	0.4778972516
437	0.4775389681
438	0.4771001327
439	0.4766143647
440	0.475899616
441	0.4753996109
442	0.4749984774
443	0.4747027482
444	0.4738277179
445	0.4736576802
446	0.4732240788
447	0.4727310583
448	0.4723818186
449	0.4720680834
450	0.4715976898
451	0.4710226645
452	0.470424609
453	0.4698664801
454	0.4695365818
455	0.4693036955
456	0.4689051881
457	0.4684394857
458	0.4680594091
459	0.4677688168
460	0.4674832916
461	0.4669445751
462	0.4666395665
463	0.4661723382
464	0.46593354
465	0.4656864138
466	0.465474494
467	0.4651169138
468	0.4647213613
469	0.4643639754
470	0.4638511502
471	0.4635066263
472	0.4631706871
473	0.462967994
474	0.4626797685
475	0.4623355179
476	0.462023215
477	0.4617114999
478	0.4613454422
479	0.4608668151
480	0.4604898716
481	0.460220071
482	0.4599177489
483	0.4595393053
484	0.4589869183
485	0.45875982
486	0.4584276414
487	0.4580872277
488	0.4578336037
489	0.4573634878
490	0.4571578418
491	0.4567714177
492	0.456391469
493	0.4558353836
494	0.4556095296
495	0.4551986494
496	0.4548649287
497	0.4543548085
498	0.4540986358
499	0.4537045844
500	0.4533515424
501	0.4530555722
502	0.4525608265
503	0.4522794637
504	0.4517077435
505	0.4513489953
506	0.4510808213
507	0.4508747798
